ElementName,FamilyName,CategoryName,ItemName,MinX,MinY,MinZ,MaxX,MaxY,MaxZ,Length,Depth,Height,Volume,Surface
残疾人电梯-Z5-500x3300mm,矩形柱,结构柱,混凝土柱,509.836397727151,-42.43107000362985,-37.4015748031496,511.47681767465764,-31.604298350086545,5.8398950131233605,1.6404199475066434,10.826771653543304,43.24146981627296,767.9880571922503,1113.72028299613
残疾人电梯-Z6-500x1050mm,矩形柱,结构柱,混凝土柱,519.350833418779,-35.04918023973185,-37.4015748031496,520.9912533662856,-31.60429834996807,5.8398950131233605,1.6404199475066434,3.444881889763778,43.24146981627296,244.35983637935234,451.0939577434784
残疾人电梯-Z7-500x750mm,矩形柱,结构柱,混凝土柱,519.3508334187788,-42.43107000360761,-37.4015748031496,520.9912533662856,-39.97044008234776,5.8398950131233605,1.6404199475067571,2.4606299212598515,43.24146981627296,174.54274027097878,362.74378104313627
底板-混凝土回填-1700mm,楼板,楼板,混凝土素砼回填,1236.3931992055695,-80.22655149548154,-42.97900262467191,1285.605797508906,-1.3551566666592407,-37.4015748031496,49.21259830333656,78.8713948288223,5.577427821522306,21648.59797004254,9191.690996243327
底板-集水坑,底板-集水坑,常规模型,集水坑混凝土,977.4212261630855,-35.04938239272997,-45.47244094488189,987.2637458481258,-23.566442760184145,-40.5511811023622,9.842519685040315,11.482939632545822,4.921259842519689,556.2060008634938,435.93837187677167
底板-集水坑-C/D,底板-集水坑-C/D,常规模型,集水坑混凝土,241.62726343196107,-48.99297783525071,-39.37007874015748,251.46978311699775,-39.1504581502104,-32.808398950131235,9.842519685036677,9.842519685040315,6.561679790026247,635.6640009866818,452.08423750175103
底板-结构板-1000mm,楼板,楼板,混凝土底板,1234.4246952653048,-82.19505543249034,-46.25984251968503,1287.5743009116159,0.61334727034955,-42.97900262467191,53.1496056463111,82.80840270283989,3.2808398950131235,14439.743923414902,9694.580811390568
底板-结构板-1000mm,楼板,楼板,混凝土底板,1234.4246952653048,-82.19505543249034,-46.25984251968503,1287.5743009116159,0.61334727034955,-42.97900262467191,53.1496056463111,82.80840270283989,3.2808398950131235,14439.743923414902,9694.580811390568
底板-结构板-1000mm,楼板,楼板,混凝土底板,1234.4246952653048,-82.19505543249034,-46.25984251968503,1287.5743009116159,0.61334727034955,-42.97900262467191,53.1496056463111,82.80840270283989,3.2808398950131235,14439.743923414902,9694.580811390568
底板-结构板-1000mm,楼板,楼板,混凝土底板,1234.4246952653048,-82.19505543249034,-46.25984251968503,1287.5743009116159,0.61334727034955,-42.97900262467191,53.1496056463111,82.80840270283989,3.2808398950131235,14439.743923414902,9694.580811390568
底板-结构板-1000mm,楼板,楼板,混凝土底板,1234.4246952653048,-82.19505543249034,-46.25984251968503,1287.5743009116159,0.61334727034955,-42.97900262467191,53.1496056463111,82.80840270283989,3.2808398950131235,14439.743923414902,9694.580811390568
底板-结构板-1100mm,楼板,楼板,混凝土底板,90.54458646115735,-76.12549787198263,-41.01049868766404,174.2060011837182,-5.456146706463187,-37.4015748031496,83.66141472256085,70.66935116551944,3.6089238845144394,21337.03308935728,12938.53176632342
底板-结构板-900mm,楼板,楼板,混凝土底板,1025.485530423728,-74.32103968490992,-40.35433070866141,1078.3070530929763,-7.260668477678337,-37.4015748031496,52.821522669248225,67.06037120723158,2.9527559055118076,10459.343261607224,7792.425776077399
底板-结构板-900mm,楼板,楼板,混凝土底板,1025.485530423728,-74.32103968490992,-40.35433070866141,1078.3070530929763,-7.260668477678337,-37.4015748031496,52.821522669248225,67.06037120723158,2.9527559055118076,10459.343261607224,7792.425776077399
底板-结构板-900mm,楼板,楼板,混凝土底板,1025.485530423728,-74.32103968490992,-40.35433070866141,1078.3070530929763,-7.260668477678337,-37.4015748031496,52.821522669248225,67.06037120723158,2.9527559055118076,10459.343261607224,7792.425776077399
底板-结构板-异形,底板-结构板-异形,常规模型,混凝土底板,-25.105022481290327,-59.163560364950555,-46.25984251968498,1233.1123616329546,-22.74623759912175,-40.35433070866137,1258.2173841142449,36.41732276582881,5.905511811023608,270595.9168515658,106932.77827861323
底板-转折机集水井,底板-转折机集水井1,常规模型,集水坑混凝土,22.28684708536267,-51.78777266157714,-42.19160104986877,31.344551077657623,-42.730068669272285,-40.551181102359216,9.057703992294954,9.057703992304852,1.6404199475095567,134.58333597814203,223.51775645467404
底板-转折机集水井,底板-转折机集水井4,常规模型,集水坑混凝土,22.286847341967697,-38.85157984117965,-42.19160104986877,31.34455115000441,-29.793876033146645,-40.55118110235922,9.057703808036713,9.057703808033004,1.6404199475095496,134.58333050235993,223.51774856951272
底板-转折机集水井,底板-转折机集水井5,常规模型,集水坑混凝土,177.97841897981692,-74.89524096588164,-42.191601049868794,186.18051871735327,-66.69314122833937,-40.55118110235923,8.202099737536344,8.20209973754227,1.6404199475095638,110.35833350502868,188.3684322927745
底板-转折机集水井,底板-转折机集水井2,常规模型,集水坑混凝土,177.97841897981695,-14.888622515636602,-42.19160104986879,186.18051871735324,-6.686522778094328,-40.551181102359244,8.202099737536287,8.202099737542273,1.6404199475095425,110.35833350502652,188.36843229277272
电缆夹层-JCZ-300x300mm,矩形柱,结构柱,混凝土柱,16.39760545475474,-9.557831802520013,-15.551181102362204,17.381857423258676,-8.573579834016076,-12.59842519685039,0.984251968503937,0.984251968503937,2.952755905511813,2.860488004440578,13.56252712505426
