ElementName,FamilyName,CategoryName,ItemName,MinX,MinY,MinZ,MaxX,MaxY,MaxZ,Length,Depth,Height,Volume,Surface
300mm混凝土角撑 2000*2000,角撑,常规模型,支撑、系杆、角板撑混凝土,-34103.7595954037,18501.079762453846,-12.073267069896316,-34097.19791561367,18507.641442243872,-11.089015101392354,6.561679790029302,6.561679790025664,0.9842519685039619,42.37760006580335,111.94466833381908
300mm混凝土角撑 2000*2000,角撑,常规模型,支撑、系杆、角板撑混凝土,-34103.7595954037,18501.079762453846,-12.073267069896316,-34097.19791561367,18507.641442243872,-11.089015101392354,6.561679790029302,6.561679790025664,0.9842519685039619,42.37760006580335,111.94466833381908
300mm混凝土角撑 2000*2000,角撑,常规模型,支撑、系杆、角板撑混凝土,-34103.7595954037,18501.079762453846,-12.073267069896316,-34097.19791561367,18507.641442243872,-11.089015101392354,6.561679790029302,6.561679790025664,0.9842519685039619,42.37760006580335,111.94466833381908
300mm混凝土角撑 2000*2000,角撑,常规模型,支撑、系杆、角板撑混凝土,-34103.7595954037,18501.079762453846,-12.073267069896316,-34097.19791561367,18507.641442243872,-11.089015101392354,6.561679790029302,6.561679790025664,0.9842519685039619,42.37760006580335,111.94466833381908
300mm混凝土角撑 2000*2000,角撑,常规模型,支撑、系杆、角板撑混凝土,-34103.7595954037,18501.079762453846,-12.073267069896316,-34097.19791561367,18507.641442243872,-11.089015101392354,6.561679790029302,6.561679790025664,0.9842519685039619,42.37760006580335,111.94466833381908
300mm混凝土角撑 2000*2000,角撑,常规模型,支撑、系杆、角板撑混凝土,-34103.7595954037,18501.079762453846,-12.073267069896316,-34097.19791561367,18507.641442243872,-11.089015101392354,6.561679790029302,6.561679790025664,0.9842519685039619,42.37760006580335,111.94466833381908
300mm混凝土角撑 2000*2000,角撑,常规模型,支撑、系杆、角板撑混凝土,-34103.7595954037,18501.079762453846,-12.073267069896316,-34097.19791561367,18507.641442243872,-11.089015101392354,6.561679790029302,6.561679790025664,0.9842519685039619,42.37760006580335,111.94466833381908
300mm混凝土角撑 2000*2000,角撑,常规模型,支撑、系杆、角板撑混凝土,-34103.7595954037,18501.079762453846,-12.073267069896316,-34097.19791561367,18507.641442243872,-11.089015101392354,6.561679790029302,6.561679790025664,0.9842519685039619,42.37760006580335,111.94466833381908
300mm混凝土角撑 2000*2000,角撑,常规模型,支撑、系杆、角板撑混凝土,-34103.7595954037,18501.079762453846,-12.073267069896316,-34097.19791561367,18507.641442243872,-11.089015101392354,6.561679790029302,6.561679790025664,0.9842519685039619,42.37760006580335,111.94466833381908
300mm混凝土角撑 2000*2000,角撑,常规模型,支撑、系杆、角板撑混凝土,-34103.7595954037,18501.079762453846,-12.073267069896316,-34097.19791561367,18507.641442243872,-11.089015101392354,6.561679790029302,6.561679790025664,0.9842519685039619,42.37760006580335,111.94466833381908
300mm混凝土角撑 2000*2000,角撑,常规模型,支撑、系杆、角板撑混凝土,-34103.7595954037,18501.079762453846,-12.073267069896316,-34097.19791561367,18507.641442243872,-11.089015101392354,6.561679790029302,6.561679790025664,0.9842519685039619,42.37760006580335,111.94466833381908
300mm混凝土角撑 2000*2000,角撑,常规模型,支撑、系杆、角板撑混凝土,-34103.7595954037,18501.079762453846,-12.073267069896316,-34097.19791561367,18507.641442243872,-11.089015101392354,6.561679790029302,6.561679790025664,0.9842519685039619,42.37760006580335,111.94466833381908
300mm混凝土角撑 2000*2000,角撑,常规模型,支撑、系杆、角板撑混凝土,-34103.7595954037,18501.079762453846,-12.073267069896316,-34097.19791561367,18507.641442243872,-11.089015101392354,6.561679790029302,6.561679790025664,0.9842519685039619,42.37760006580335,111.94466833381908
300mm混凝土角撑 2000*2000,角撑,常规模型,支撑、系杆、角板撑混凝土,-34103.7595954037,18501.079762453846,-12.073267069896316,-34097.19791561367,18507.641442243872,-11.089015101392354,6.561679790029302,6.561679790025664,0.9842519685039619,42.37760006580335,111.94466833381908
300mm混凝土角撑 2000*2000,角撑,常规模型,支撑、系杆、角板撑混凝土,-34103.7595954037,18501.079762453846,-12.073267069896316,-34097.19791561367,18507.641442243872,-11.089015101392354,6.561679790029302,6.561679790025664,0.9842519685039619,42.37760006580335,111.94466833381908
300mm混凝土角撑 2000*2000,角撑,常规模型,支撑、系杆、角板撑混凝土,-34103.7595954037,18501.079762453846,-12.073267069896316,-34097.19791561367,18507.641442243872,-11.089015101392354,6.561679790029302,6.561679790025664,0.9842519685039619,42.37760006580335,111.94466833381908
300mm混凝土角撑 2000*2000,300mm钢筋混凝土板撑,常规模型,支撑、系杆、角板撑混凝土,-33586.69922795443,18407.77263412874,-16.67324225845636,-33580.1375481644,18414.334313918767,-15.688990289952399,6.561679790029302,6.561679790025664,0.9842519685039601,42.37760006580328,111.94466833381905
3号出入口加固,3号出入口加固,结构基础,地基加固,-34269.07457329023,18486.644025206206,-36.54832875679432,-34097.197915613,18522.878387324927,8.760060661018652,171.8766576772323,36.23436211872104,45.308389417812975,282173.4477083378,31314.032362171056
4号出入口加固,4号出入口加固,结构基础,地基加固,-33875.413138709424,18485.003605258138,-37.10139257153145,-33668.976130835414,18522.74170464852,7.157137612562266,206.4370078740103,37.73809939038256,44.258530184093715,344797.86394749215,37194.74335213608
600钻孔灌注桩 L=18m,灌注桩,常规模型,钻孔灌注桩,-34173.612371269446,18374.074175561705,-74.37664041994752,-34171.64386733244,18376.042679498714,-15.321522309711286,1.9685039370087907,1.9685039370087907,59.055118110236236,228.83904035545928,472.75094550211486
